# Адреси, виключені з карти як установи (суди, відділи поліції).
# Визначено автоматично за трьома ознаками:
#   будівля — адреса стоїть на відділі поліції, суді чи прокуратурі
#             за даними OpenStreetMap (радіус 60 м);
#   обсяг — понад 1.5% подій свого району або понад 90 подій;
#   склад — від 20 подій, з яких понад 50% це
#           ст.130 і ст.122-4, тобто те, що оформлюють у відділі.
#
# ЦЕЙ ФАЙЛ ПЕРЕЗАПИСУЄТЬСЯ ЩОРАЗУ. Викреслити рядок назавжди не
# вийде: якщо адреса справжня, впишіть її у vykluchennya_ne.txt.
# Один рядок = одна адреса.

вул. Академіка Шалімова, 42   # 1 подій, 33.3% району
вул. Павла Петриченка, 66   # 1 подій, 100.0% району
просп. Свободи, 24   # 1 подій, 100.0% району
просп. Відрадний, 28   # 1 подій, 33.3% району
вул. Митрополита Василя Липківського, 37   # 1 подій, 33.3% району
вул. Степана Рудницького, 36   # 1 подій, 50.0% району
вул. Будівельників, 40   # 1 подій, 50.0% району
вул. Полярна, 10   # 1 подій, 100.0% району
вул. Василя Стуса, 9   # 1 подій, 50.0% району
вул. Празька, 34   # 1 подій, 50.0% району
вул. Михайла Котельникова, 49   # 1 подій, 50.0% району
вул. Антоновича, 81   # 1 подій, 50.0% району
